Track,Position,Driver,Win
Great Britain,14,Nicholas Latifi,0
Great Britain,15,Kimi Raikkönen,0
Great Britain,16,Sergio Perez,0
Great Britain,17,Nikita Mazepin,0
Great Britain,18,Mick Schumacher,0
Hungary,1,Esteban Ocon,1
Hungary,,Sebastian Vettel, 
Hungary,2,Lewis Hamilton,0
Hungary,3,Carlos Sainz,0
Hungary,4,Fernando Alonso,0
Hungary,5,Pierre Gasly,0
Hungary,6,Yuki Tsunoda,0
Hungary,7,Nicholas Latifi,0
Hungary,8,George Russell,0
Hungary,9,Max Verstappen,0
Hungary,10,Kimi Raikkönen,0
Hungary,11,Daniel Ricciardo,0
Hungary,12,Mick Schumacher,0
Hungary,13,Antonio Giovinazzi,0
Belgium,1,Max Verstappen,1
Belgium,2,George Russell,0
Belgium,3,Lewis Hamilton,0
Belgium,4,Daniel Ricciardo,0
Belgium,5,Sebastian Vettel,0
Belgium,6,Pierre Gasly,0
Belgium,7,Esteban Ocon,0
Belgium,8,Charles Leclerc,0
Belgium,9,Nicholas Latifi,0
Belgium,10,Carlos Sainz,0
Belgium,11,Fernando Alonso,0
Belgium,12,Valtteri Bottas,0
Belgium,13,Antonio Giovinazzi,0
Belgium,14,Lando Norris,0
Belgium,15,Yuki Tsunoda,0
Belgium,16,Mick Schumacher,0
Belgium,17,Nikita Mazepin,0
Belgium,18,Kimi Raikkönen,0
Belgium,19,Sergio Perez,0
Belgium,20,Lance Stroll,0
Netherlands,1,Max Verstappen,1
Netherlands,2,Lewis Hamilton,0
Netherlands,3,Valtteri Bottas,0
Netherlands,4,Pierre Gasly,0
Netherlands,5,Charles Leclerc,0
Netherlands,6,Fernando Alonso,0
Netherlands,7,Carlos Sainz,0
Netherlands,8,Sergio Perez,0
Netherlands,9,Esteban Ocon,0
Netherlands,10,Lando Norris,0
Netherlands,11,Daniel Ricciardo,0
Netherlands,12,Lance Stroll,0
Netherlands,13,Sebastian Vettel,0
Netherlands,14,Antonio Giovinazzi,0
Netherlands,15,Robert Kubica,0
Netherlands,16,Nicholas Latifi,0
Netherlands,17,George Russell,0
Netherlands,18,Mick Schumacher,0
Italy,1,Daniel Ricciardo,1
Italy,2,Lando Norris,0
Italy,3,Valtteri Bottas,0
Italy,4,Charles Leclerc,0
Italy,5,Sergio Perez,0
Italy,6,Carlos Sainz,0
Italy,7,Lance Stroll,0
Italy,8,Fernando Alonso,0
Italy,9,George Russell,0
Italy,10,Esteban Ocon,0
Italy,11,Nicholas Latifi,0
Italy,12,Sebastian Vettel,0
Italy,13,Antonio Giovinazzi,0
Italy,14,Robert Kubica,0
Italy,15,Mick Schumacher,0
Russia,1,Lewis Hamilton,1
Russia,2,Max Verstappen,0
Russia,3,Carlos Sainz,0
Russia,4,Daniel Ricciardo,0
Russia,5,Valtteri Bottas,0
Russia,6,Fernando Alonso,0
Russia,7,Lando Norris,0
Russia,8,Kimi Raikkönen,0
Russia,9,Sergio Perez,0
Russia,10,George Russell,0
Russia,11,Lance Stroll,0
Russia,12,Sebastian Vettel,0
Russia,13,Pierre Gasly,0
Russia,14,Esteban Ocon,0
Russia,15,Charles Leclerc,0
Russia,16,Antonio Giovinazzi,0
Russia,17,Yuki Tsunoda,0
Russia,18,Nikita Mazepin,0
Russia,19,Nicholas Latifi,0
Turkey,1,Valtteri Bottas,1
Turkey,2,Max Verstappen,0
Turkey,3,Sergio Perez,0
Turkey,4,Charles Leclerc,0
Turkey,5,Lewis Hamilton,0
Turkey,6,Pierre Gasly,0
Turkey,7,Lando Norris,0
Turkey,8,Carlos Sainz,0
Turkey,9,Lance Stroll,0
Turkey,10,Esteban Ocon,0
Turkey,11,Antonio Giovinazzi,0
Turkey,12,Kimi Raikkönen,0
Turkey,13,Daniel Ricciardo,0
Turkey,14,Yuki Tsunoda,0
Turkey,15,George Russell,0
Turkey,16,Fernando Alonso,0
Turkey,17,Nicholas Latifi,0
Turkey,18,Sebastian Vettel,0
Turkey,19,Mick Schumacher,0
Turkey,20,Nikita Mazepin,0
United States,1,Max Verstappen,1
United States,2,Lewis Hamilton,0
United States,3,Sergio Perez,0
United States,4,Charles Leclerc,0
United States,5,Daniel Ricciardo,0
United States,6,Valtteri Bottas,0
United States,7,Carlos Sainz,0
United States,8,Lando Norris,0
United States,9,Yuki Tsunoda,0
United States,10,Sebastian Vettel,0
United States,11,Antonio Giovinazzi,0
United States,12,Lance Stroll,0
United States,13,Kimi Raikkönen,0
United States,14,George Russell,0
United States,15,Nicholas Latifi,0
United States,16,Mick Schumacher,0
United States,17,Nikita Mazepin,0
Mexico,1,Max Verstappen,1
Mexico,2,Lewis Hamilton,0
Mexico,3,Sergio Perez,0
Mexico,4,Pierre Gasly,0
Mexico,5,Charles Leclerc,0
Mexico,6,Carlos Sainz,0
Mexico,7,Sebastian Vettel,0
Mexico,8,Kimi Raikkönen,0
Mexico,9,Fernando Alonso,0
Mexico,10,Lando Norris,0
Mexico,11,Antonio Giovinazzi,0
Mexico,12,Daniel Ricciardo,0
Mexico,13,Esteban Ocon,0
Mexico,14,Lance Stroll,0
Mexico,15,Valtteri Bottas,0
Mexico,16,George Russell,0
Mexico,17,Nicholas Latifi,0
Mexico,18,Nikita Mazepin,0
Brazil,1,Lewis Hamilton,1
Brazil,2,Max Verstappen,0
Brazil,3,Valtteri Bottas,0
Brazil,4,Sergio Perez,0
Brazil,5,Charles Leclerc,0
Brazil,6,Carlos Sainz,0
Brazil,7,Pierre Gasly,0
Brazil,8,Esteban Ocon,0
Brazil,9,Fernando Alonso,0
Brazil,10,Lando Norris,0
Brazil,11,Sebastian Vettel,0
Brazil,12,Kimi Raikkönen,0
Brazil,13,George Russell,0
Brazil,14,Antonio Giovinazzi,0
Brazil,15,Yuki Tsunoda,0
Brazil,16,Nicholas Latifi,0
Brazil,17,Nikita Mazepin,0
Brazil,18,Mick Schumacher,0
Qatar,1,Lewis Hamilton,1
Qatar,2,Max Verstappen,0
Qatar,3,Fernando Alonso,0
Qatar,4,Sergio Perez,0
Qatar,5,Esteban Ocon,0
Qatar,6,Lance Stroll,0
Qatar,7,Carlos Sainz,0
Qatar,8,Charles Leclerc,0
Qatar,9,Lando Norris,0
Qatar,10,Sebastian Vettel,0
Qatar,11,Pierre Gasly,0
Qatar,12,Daniel Ricciardo,0
Qatar,13,Yuki Tsunoda,0
Qatar,14,Kimi Raikkönen,0
Qatar,15,Antonio Giovinazzi,0
Qatar,16,Mick Schumacher,0
Qatar,17,George Russell,0
Qatar,18,Nikita Mazepin,0
Saudi Arabia,1,Lewis Hamilton,1
Saudi Arabia,2,Max Verstappen,0
Saudi Arabia,3,Valtteri Bottas,0
Saudi Arabia,4,Esteban Ocon,0
Saudi Arabia,5,Daniel Ricciardo,0
Saudi Arabia,6,Pierre Gasly,0
Saudi Arabia,7,Charles Leclerc,0
Saudi Arabia,8,Carlos Sainz,0
Saudi Arabia,9,Antonio Giovinazzi,0
Saudi Arabia,10,Lando Norris,0
Saudi Arabia,11,Lance Stroll,0
Saudi Arabia,12,Nicholas Latifi,0
Saudi Arabia,13,Fernando Alonso,0
Saudi Arabia,14,Yuki Tsunoda,0
Saudi Arabia,15,Kimi Raikkönen,0
Abu Dhabi,1,Max Verstappen,1
Abu Dhabi,2,Lewis Hamilton,0
Abu Dhabi,3,Carlos Sainz,0
Abu Dhabi,4,Yuki Tsunoda,0
Abu Dhabi,5,Pierre Gasly,0
Abu Dhabi,6,Valtteri Bottas,0
Abu Dhabi,7,Lando Norris,0
Abu Dhabi,8,Fernando Alonso,0
Abu Dhabi,9,Esteban Ocon,0
Abu Dhabi,10,Charles Leclerc,0
Abu Dhabi,11,Sebastian Vettel,0
Abu Dhabi,12,Daniel Ricciardo,0
Abu Dhabi,13,Lance Stroll,0
Abu Dhabi,14,Mick Schumacher,0
Abu Dhabi,15,Sergio Perez,0
